
----------------------------------------------------------------------------------------------------
	Slot	Prop.	Music	File name
----------------------------------------------------------------------------------------------------

()	9.1	T63	175	+ Albero Bello v1.1 (Shorky) [r63,5laps,FJRoyet]
()	9.2	T53	151	+ GBA Boo Lake v1.1 (Slimeserver) [r53]
()	9.3	T74	167	+ Casino Zone v1 (Krummers) [r74,x0.7,coob-r]
()	9.4	T74	T74	+ Casino Zone {1lap} v1 (Krummers) [r74,x0.7,coob-r]

()	10.1	T23	129	+ Iceway RC2 (BroOFun) [r23]
()	10.2	T44	147	+ WiiU Rainbow Road v1 (Squadaloo) [r44]
()	10.3	T74	167	+ Spooky Toys v1 (Krummers) [r74,x0.7,coob-r]
()	10.4	T74	T74	+ Spooky Toys {1lap} v1 (Krummers) [r74,x0.7,coob-r]

()	11.1	T43	141	+ Superstar Dystopia v1 (SpyKid) [r43,m42,2laps]
()	11.2	T53	151	+ Thump Bump Forest v1.3 (SquireTurnbolt) [r53]
()	11.3	T11	125	+ CTTR Track and the Beanstalk v1.1 (razero) [r11,FJRoyet]
()	11.4	T74	167	+ Velvet Plaza v1 (Krummers) [r74,x0.7,coob-r]

()	12.1	T74	T74	+ Velvet Plaza {1lap} v1 (Krummers) [r74,x0.7,coob-r]
()	12.2	T74	167	+ Wuhu Plaza v1 (Krummers) [r74,x0.7,coob-r]
()	12.3	T74	T74	+ Wuhu Plaza {1lap} v1 (Krummers) [r74,x0.7,coob-r]

----------------------------------------------------------------------------------------------------

()	12.4	T33	143	+U Crystal Dungeon v3.23 (SpyKid) [r33]

()	13.1	T43	145	+U Final Grounds v2.42 (MEGAKart69) [r43,2laps,FJRoyet]
()	13.2	T44	147	+U GBA Rainbow Road v1.2 (SquireTurnbolt) [r44,2laps]
()	13.3	T61	157	+U GBA Snow Land v2 (cpfusion) [61]

----------------------------------------------------------------------------------------------------

()	13.4	T72	155	+T Thwomp Factory v1.2 (KiwiPowerGreen+Toxic Amaranth) [r72,2ktpt,FJRoyet]

()	14.1	T84	163	+T Wolf Castlegrounds v1.11 (SpyKid) [r84]

----------------------------------------------------------------------------------------------------

()	14.2	T63	175	+N Albero Bello v1 (Shorky) [r63,lag]
()	14.3	T32	133	+N Aquania v1.5 (SpyKid) [r32,Carp,SpyKid]
()	14.4	T61	157	+N Blue Loop v2 (Toxic Amaranth) [61]

()	15.1	T53	151	+N GBA Boo Lake v1 (Slimeserver) [r53]
()	15.2	T12	119	+N Canyon Craft v1 (CarryOn) [r12]
()	15.3	T12	119	+N Canyon Craft v1.1 (CarryOn) [r12,FJRoyet]
()	15.4	T73	161	+N Castaway Isle Beta2 (cpfusion) [r73,FJRoyet]

()	16.1	T51	165	+N DS Cheep Cheep Beach v2 (SquireTurnbolt) [r51]
()	16.2	T51	165	+N DS Cheep Cheep Beach v2.1 (SquireTurnbolt) [r51]
()	16.3	T13	121	+N Fixed Mushroom Gorge v1 (AlmostTWD98) [r13,edit]
()	16.4	T13	121	+N Hooktail Castle v1 (Man-O-Wii) [r13]

()	17.1	T23	129	+N Iceway RC1 (BroOFun) [r23,FJRoyet]
()	17.2	T51	165	+N Island Circuit v3 (Potatoman44) [r51]
